Time,SZA
2025-03-02 09:34:00,86.1966002635345
2025-03-02 09:35:00,86.18864686388027
2025-03-02 09:36:00,86.18069351283266
2025-03-02 09:37:00,86.17274021037059
2025-03-02 09:38:00,86.16478695647295
2025-03-02 09:39:00,86.15683375106045
2025-03-02 09:40:00,86.14888058877574
2025-03-02 09:41:00,86.14092748023141
2025-03-02 09:42:00,86.13297442007016
2025-03-02 09:43:00,86.12502140825144
2025-03-02 09:44:00,86.11706844473478
2025-03-02 09:45:00,86.10911552949922
2025-03-02 09:46:00,86.10116266244577
2025-03-02 09:47:00,86.0932098436119
2025-03-02 09:48:00,86.08525707285985
2025-03-02 09:49:00,86.07730435022691
2025-03-02 09:50:00,86.06935167571127
2025-03-02 09:51:00,86.0613990438588
2025-03-02 09:52:00,86.05344646528201
2025-03-02 09:53:00,86.04549393468164
2025-03-02 09:54:00,86.03754145193989
2025-03-02 09:55:00,86.02958901711311
2025-03-02 09:56:00,86.02163663008318
2025-03-02 09:57:00,86.01368429079045
2025-03-02 09:58:00,86.00573199927189
2025-03-02 09:59:00,85.99777975546763
2025-03-02 10:00:00,85.989827559318
2025-03-02 10:01:00,85.9818754107629
2025-03-02 10:02:00,85.97392330444532
2025-03-02 10:03:00,85.96597125101637
2025-03-02 10:04:00,85.95801924508017
2025-03-02 10:05:00,85.95006728655733
2025-03-02 10:06:00,85.94211537548509
2025-03-02 10:07:00,85.93416351178418
2025-03-02 10:08:00,85.92621169537549
2025-03-02 10:09:00,85.91825992631532
2025-03-02 10:10:00,85.91030820444702
2025-03-02 10:11:00,85.90235652982696
2025-03-02 10:12:00,85.89440490235671
2025-03-02 10:13:00,85.88645332203461
2025-03-02 10:14:00,85.87850178338724
2025-03-02 10:15:00,85.87055029720119
2025-03-02 10:16:00,85.86259885798383
2025-03-02 10:17:00,85.85464746571412
2025-03-02 10:18:00,85.84669612037084
2025-03-02 10:19:00,85.83874482191378
2025-03-02 10:20:00,85.83079357028302
2025-03-02 10:21:00,85.82284236543818
2025-03-02 10:22:00,85.81489120737763
2025-03-02 10:23:00,85.80694009598338
2025-03-02 10:24:00,85.79898903127312
2025-03-02 10:25:00,85.79103800789008
2025-03-02 10:26:00,85.78308703634917
2025-03-02 10:27:00,85.7751361114293
2025-03-02 10:28:00,85.76718523301244
2025-03-02 10:29:00,85.75923440098067
2025-03-02 10:30:00,85.7512836154099
2025-03-02 10:31:00,85.74333287618224
2025-03-02 10:32:00,85.73538218337346
