Epoch (UTC),Epoch (MJD),q0,q1,q2,q3
Mar 16 2025 19:01:00.000000000,60750.792789351843,0.31460406614514,0.66175669264315,0.27778746336072,0.62123786628518
Mar 16 2025 19:02:00.000000000,60750.793483796289,0.31456623284252,0.66171764421418,0.27782707296483,0.62128090427656
Mar 16 2025 19:03:00.000000000,60750.794178240736,0.31452839753360,0.66167859156446,0.27786668079677,0.62132393830691
Mar 16 2025 19:04:00.000000000,60750.794872685183,0.31449056021925,0.66163953469490,0.27790628685562,0.62136696837523
Mar 16 2025 19:05:00.000000000,60750.795567129622,0.31445272089951,0.66160047360552,0.27794589114134,0.62140999448150
Mar 16 2025 19:06:00.000000000,60750.796261574069,0.31441487957483,0.66156140829680,0.27798549365347,0.62145301662518
Mar 16 2025 19:07:00.000000000,60750.796956018516,0.31437703624480,0.66152233876832,0.27802509439242,0.62149603480675
Mar 16 2025 19:08:00.000000000,60750.797650462955,0.31433919091031,0.66148326502100,0.27806469335726,0.62153904902520
Mar 16 2025 19:09:00.000000000,60750.798344907402,0.31430134357160,0.66144418705507,0.27810429054775,0.62158205928025
Mar 16 2025 19:10:00.000000000,60750.799039351848,0.31426349422848,0.66140510487035,0.27814388596409,0.62162506557212
Mar 16 2025 19:11:00.000000000,60750.799733796288,0.31422564288142,0.66136601846731,0.27818347960578,0.62166806790029
Mar 16 2025 19:12:00.000000000,60750.800428240735,0.31418778953085,0.66132692784642,0.27822307147237,0.62171106626424
Mar 16 2025 19:13:00.000000000,60750.801122685181,0.31414993417660,0.66128783300748,0.27826266156404,0.62175406066419
Mar 16 2025 19:14:00.000000000,60750.801817129621,0.31411207681912,0.66124873395096,0.27830224988033,0.62179705109962
Mar 16 2025 19:15:00.000000000,60750.802511574067,0.31407421745843,0.66120963067689,0.27834183642119,0.62184003757051
Mar 16 2025 19:16:00.000000000,60750.803206018514,0.31403635609585,0.66117052318662,0.27838142118526,0.62188302007535
Mar 16 2025 19:17:00.000000000,60750.803900462954,0.31399849273012,0.66113141147886,0.27842100417386,0.62192599861559
Mar 16 2025 19:18:00.000000000,60750.8045949074,0.31396062736212,0.66109229555452,0.27846058538606,0.62196897319022
Mar 16 2025 19:19:00.000000000,60750.805289351847,0.31392275999296,0.66105317541473,0.27850016482071,0.62201194379798
Mar 16 2025 19:20:00.000000000,60750.805983796294,0.31388489062136,0.66101405105819,0.27853974247913,0.62205491044033
Mar 16 2025 19:21:00.000000000,60750.806678240733,0.31384701924843,0.66097492248603,0.27857931836018,0.62209787311599
