Epoch (UTC),Epoch (MJD),q0,q1,q2,q3
Mar 16 2025 19:01:00.000000000,60750.792789351843,0.32714012807604,0.68277389541091,0.26818568316262,0.59571413066087
Mar 16 2025 19:02:00.000000000,60750.793483796289,0.32710389817598,0.68273631946188,0.26822647959997,0.59575872234878
Mar 16 2025 19:03:00.000000000,60750.794178240736,0.32706766618965,0.68269873915808,0.26826727432638,0.59580331023845
Mar 16 2025 19:04:00.000000000,60750.794872685183,0.32703143211790,0.68266115450040,0.26830806734090,0.59584789432884
Mar 16 2025 19:05:00.000000000,60750.795567129622,0.32699519596075,0.68262356548887,0.26834885864349,0.59589247461992
Mar 16 2025 19:06:00.000000000,60750.796261574069,0.32695895771863,0.68258597212393,0.26838964823366,0.59593705111114
Mar 16 2025 19:07:00.000000000,60750.796956018516,0.32692271739116,0.68254837440519,0.26843043611186,0.59598162380299
Mar 16 2025 19:08:00.000000000,60750.797650462955,0.32688647497919,0.68251077233353,0.26847122227711,0.59602619269443
Mar 16 2025 19:09:00.000000000,60750.798344907402,0.32685023048294,0.68247316590918,0.26851200672918,0.59607075778517
Mar 16 2025 19:10:00.000000000,60750.799039351848,0.32681398390224,0.68243555513196,0.26855278946825,0.59611531907543
Mar 16 2025 19:11:00.000000000,60750.799733796288,0.32677773523752,0.68239794000232,0.26859357049385,0.59615987656468
Mar 16 2025 19:12:00.000000000,60750.800428240735,0.32674148448922,0.68236032052071,0.26863434980546,0.59620443025238
Mar 16 2025 19:13:00.000000000,60750.801122685181,0.32670523165715,0.68232269668695,0.26867512740331,0.59624898013875
Mar 16 2025 19:14:00.000000000,60750.801817129621,0.32666897674176,0.68228506850148,0.26871590328690,0.59629352622326
Mar 16 2025 19:15:00.000000000,60750.802511574067,0.32663271974307,0.68224743596433,0.26875667745620,0.59633806850589
Mar 16 2025 19:16:00.000000000,60750.803206018514,0.32659646066234,0.68220979907682,0.26879744990980,0.59638260698507
Mar 16 2025 19:17:00.000000000,60750.803900462954,0.32656019949835,0.68217215783767,0.26883822064905,0.59642714166230
Mar 16 2025 19:18:00.000000000,60750.8045949074,0.32652393625196,0.68213451224779,0.26887898967300,0.59647167253654
Mar 16 2025 19:19:00.000000000,60750.805289351847,0.32648767092422,0.68209686230825,0.26891975698046,0.59651619960648
Mar 16 2025 19:20:00.000000000,60750.805983796294,0.32645140351392,0.68205920801780,0.26896052257281,0.59656072287363
Mar 16 2025 19:21:00.000000000,60750.806678240733,0.32641513402211,0.68202154937754,0.26900128644884,0.59660524233668
Mar 16 2025 19:22:00.000000000,60750.80737268518,0.32637886244861,0.68198388638727,0.26904204860877,0.59664975799586
Mar 16 2025 19:23:00.000000000,60750.808067129627,0.32634258879386,0.68194621904746,0.26908280905211,0.59669426985063
Mar 16 2025 19:24:00.000000000,60750.808761574066,0.32630631305850,0.68190854735876,0.26912356777812,0.59673877790021
Mar 16 2025 19:25:00.000000000,60750.809456018513,0.32627003524215,0.68187087132078,0.26916432478726,0.59678328214506
Mar 16 2025 19:26:00.000000000,60750.810150462959,0.32623375534502,0.68183319093375,0.26920508007925,0.59682778258491
Mar 16 2025 19:27:00.000000000,60750.810844907399,0.32619747336799,0.68179550619856,0.26924583365314,0.59687227921872
Mar 16 2025 19:28:00.000000000,60750.811539351846,0.32616118931064,0.68175781711481,0.26928658550937,0.59691677204695
Mar 16 2025 19:29:00.000000000,60750.812233796292,0.32612490317385,0.68172012368337,0.26932733564699,0.59696126106858
Mar 16 2025 19:30:00.000000000,60750.812928240732,0.32608861495679,0.68168242590342,0.26936808406689,0.59700574628458
Mar 16 2025 19:31:00.000000000,60750.813622685178,0.32605232466095,0.68164472377647,0.26940883076743,0.59705022769314
Mar 16 2025 19:32:00.000000000,60750.814317129625,0.32601603228573,0.68160701730192,0.26944957574926,0.59709470529501
Mar 16 2025 19:33:00.000000000,60750.815011574065,0.32597973783177,0.68156930648043,0.26949031901168,0.59713917908939
Mar 16 2025 19:34:00.000000000,60750.815706018511,0.32594344129889,0.68153159131181,0.26953106055488,0.59718364907651
Mar 16 2025 19:35:00.000000000,60750.816400462958,0.32590714268773,0.68149387179673,0.26957180037814,0.59722811525557
Mar 16 2025 19:36:00.000000000,60750.817094907405,0.32587084199812,0.68145614793500,0.26961253848166,0.59727257762680
Mar 16 2025 19:37:00.000000000,60750.817789351844,0.32583453923089,0.68141841972751,0.26965327486449,0.59731703618916
Mar 16 2025 19:38:00.000000000,60750.818483796291,0.32579823438587,0.68138068717406,0.26969400952684,0.59736149094287
Mar 16 2025 19:39:00.000000000,60750.819178240738,0.32576192746288,0.68134295027447,0.26973474246891,0.59740594188816
Mar 16 2025 19:40:00.000000000,60750.819872685177,0.32572561846318,0.68130520903005,0.26977547368927,0.59745038902348
Mar 16 2025 19:41:00.000000000,60750.820567129624,0.32568930738576,0.68126746343974,0.26981620318907,0.59749483235006
Mar 16 2025 19:42:00.000000000,60750.82126157407,0.32565299423251,0.68122971350552,0.26985693096619,0.59753927186560
Mar 16 2025 19:43:00.000000000,60750.82195601851,0.32561667900180,0.68119195922568,0.26989765702245,0.59758370757209
Mar 16 2025 19:44:00.000000000,60750.822650462957,0.32558036169509,0.68115420060176,0.26993838135621,0.59762813946773
Mar 16 2025 19:45:00.000000000,60750.823344907403,0.32554404231220,0.68111643763356,0.26997910396766,0.59767256755275
Mar 16 2025 19:46:00.000000000,60750.824039351843,0.32550772085338,0.68107867032132,0.27001982485656,0.59771699182686
Mar 16 2025 19:47:00.000000000,60750.824733796289,0.32547139731883,0.68104089866529,0.27006054402264,0.59776141228978
Mar 16 2025 19:48:00.000000000,60750.825428240736,0.32543507170902,0.68100312266593,0.27010126146541,0.59780582894097
Mar 16 2025 19:49:00.000000000,60750.826122685183,0.32539874402395,0.68096534232324,0.27014197718484,0.59785024178042
Mar 16 2025 19:50:00.000000000,60750.826817129622,0.32536241426345,0.68092755763705,0.27018269118114,0.59789465080833
Mar 16 2025 19:51:00.000000000,60750.827511574069,0.32532608242898,0.68088976860889,0.27022340345266,0.59793905602292
Mar 16 2025 19:52:00.000000000,60750.828206018516,0.32528974851934,0.68085197523749,0.27026411400076,0.59798345742566
Mar 16 2025 19:53:00.000000000,60750.828900462955,0.32525341253599,0.68081417752437,0.27030482282379,0.59802785501476
Mar 16 2025 19:54:00.000000000,60750.829594907402,0.32521707447813,0.68077637546872,0.27034552992266,0.59807224879120
Mar 16 2025 19:55:00.000000000,60750.830289351848,0.32518073434682,0.68073856907162,0.27038623529617,0.59811663875370
